time=2025-10-21T00:25:59.200+08:00 level=INFO source=C:/Users/Yuqi/Desktop/hyego/gohye/bottemplate/database/db.go:259 msg="Query executed" type=db operation=exec query="\n\t\tUPDATE users \n\t\tSET completed_cols = CASE \n\t\t\tWHEN completed_cols::text LIKE '[\"%' OR completed_cols::text = '[]' THEN \n\t\t\t\t(\n\t\t\t\t\tSELECT COALESCE(\n\t\t\t\t\t\tjsonb_agg(\n\t\t\t\t\t\t\tjsonb_build_object('id', elem, 'amount', 0)\n\t\t\t\t\t\t), \n\t\t\t\t\t\t'[]'::jsonb\n\t\t\t\t\t)\n\t\t\t\t\tFROM jsonb_array_elements_text(completed_cols) elem\n\t\t\t\t)\n\t\t\tELSE completed_cols\n\t\tEND\n\t\tWHERE completed_cols IS NOT NULL;\n\t" args=[] took=236.8345ms affected_rows=0
time=2025-10-21T00:25:59.418+08:00 level=INFO source=C:/Users/Yuqi/Desktop/hyego/gohye/bottemplate/database/db.go:259 msg="Query executed" type=db operation=exec query="\n\t\tUPDATE users \n\t\tSET clouted_cols = CASE \n\t\t\tWHEN clouted_cols::text LIKE '[\"%' OR clouted_cols::text = '[]' THEN \n\t\t\t\t(\n\t\t\t\t\tSELECT COALESCE(\n\t\t\t\t\t\tjsonb_agg(\n\t\t\t\t\t\t\tjsonb_build_object('id', elem, 'amount', 1)\n\t\t\t\t\t\t), \n\t\t\t\t\t\t'[]'::jsonb\n\t\t\t\t\t)\n\t\t\t\t\tFROM jsonb_array_elements_text(clouted_cols) elem\n\t\t\t\t)\n\t\t\tELSE clouted_cols\n\t\tEND\n\t\tWHERE clouted_cols IS NOT NULL;\n\t" args=[] took=218.698ms affected_rows=0
time=2025-10-21T00:25:59.646+08:00 level=INFO source=C:/Users/Yuqi/Desktop/hyego/gohye/bottemplate/database/db.go:259 msg="Query executed" type=db operation=exec query="CREATE INDEX IF NOT EXISTS idx_cards_col_id ON cards(col_id);" args=[] took=226.8768ms affected_rows=0
time=2025-10-21T00:25:59.875+08:00 level=INFO source=C:/Users/Yuqi/Desktop/hyego/gohye/bottemplate/database/db.go:259 msg="Query executed" type=db operation=exec query="CREATE INDEX IF NOT EXISTS idx_cards_name ON cards(name);" args=[] took=228.1399ms affected_rows=0
time=2025-10-21T00:26:00.098+08:00 level=INFO source=C:/Users/Yuqi/Desktop/hyego/gohye/bottemplate/database/db.go:259 msg="Query executed" type=db operation=exec query="CREATE INDEX IF NOT EXISTS idx_cards_level ON cards(level);" args=[] took=223.6142ms affected_rows=0
time=2025-10-21T00:26:00.322+08:00 level=INFO source=C:/Users/Yuqi/Desktop/hyego/gohye/bottemplate/database/db.go:259 msg="Query executed" type=db operation=exec query="CREATE INDEX IF NOT EXISTS idx_collections_name ON collections(name);" args=[] took=223.4948ms affected_rows=0
time=2025-10-21T00:26:00.545+08:00 level=INFO source=C:/Users/Yuqi/Desktop/hyego/gohye/bottemplate/database/db.go:259 msg="Query executed" type=db operation=exec query="CREATE INDEX IF NOT EXISTS idx_user_cards_user_id ON user_cards(user_id);" args=[] took=222.6365ms affected_rows=0
time=2025-10-21T00:26:00.771+08:00 level=INFO source=C:/Users/Yuqi/Desktop/hyego/gohye/bottemplate/database/db.go:259 msg="Query executed" type=db operation=exec query="CREATE INDEX IF NOT EXISTS idx_user_cards_card_id ON user_cards(card_id);" args=[] took=224.8009ms affected_rows=0
time=2025-10-21T00:26:00.996+08:00 level=INFO source=C:/Users/Yuqi/Desktop/hyego/gohye/bottemplate/database/db.go:259 msg="Query executed" type=db operation=exec query="CREATE INDEX IF NOT EXISTS idx_user_cards_user_card ON user_cards(user_id, card_id);" args=[] took=224.1682ms affected_rows=0
time=2025-10-21T00:26:01.216+08:00 level=INFO source=C:/Users/Yuqi/Desktop/hyego/gohye/bottemplate/database/db.go:259 msg="Query executed" type=db operation=exec query="CREATE INDEX IF NOT EXISTS idx_economy_stats_timestamp ON economy_stats(timestamp);" args=[] took=220.2378ms affected_rows=0
time=2025-10-21T00:26:01.436+08:00 level=INFO source=C:/Users/Yuqi/Desktop/hyego/gohye/bottemplate/database/db.go:259 msg="Query executed" type=db operation=exec query="CREATE INDEX IF NOT EXISTS idx_economy_stats_economic_health ON economy_stats(economic_health);" args=[] took=219.964ms affected_rows=0
time=2025-10-21T00:26:01.663+08:00 level=INFO source=C:/Users/Yuqi/Desktop/hyego/gohye/bottemplate/database/db.go:259 msg="Query executed" type=db operation=exec query="CREATE INDEX IF NOT EXISTS idx_claim_stats_user_id ON claim_stats(user_id);" args=[] took=226.3782ms affected_rows=0
time=2025-10-21T00:26:01.893+08:00 level=INFO source=C:/Users/Yuqi/Desktop/hyego/gohye/bottemplate/database/db.go:259 msg="Query executed" type=db operation=exec query="CREATE INDEX IF NOT EXISTS idx_claim_stats_last_claim ON claim_stats(last_claim_at);" args=[] took=229.3878ms affected_rows=0
time=2025-10-21T00:26:02.113+08:00 level=INFO source=C:/Users/Yuqi/Desktop/hyego/gohye/bottemplate/database/db.go:259 msg="Query executed" type=db operation=exec query="CREATE INDEX IF NOT EXISTS idx_user_cards_user_id_amount ON user_cards(user_id) WHERE amount > 0;" args=[] took=220.9265ms affected_rows=0
